,Sample,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,stdE (GPa),stdH (GPa),CI,IQ,XRD
compo_91,grad9-TiZr mesure 10,25.4,9.34,0.0,53.88,11.38,36.45,13.65,0.0,40.6,9.3,105.71807375498375,8.033012932904146,2.7307128383702044,0.11594695609105522,0.0147478,35343.68,0
compo_92,grad9-TiZr mesure 11,26.5,8.23,0.0,55.94,9.34,38.08,12.04,0.0,42.22,7.65,100.13272985849841,7.315246424878643,1.0010022560584084,0.08859944010018199,0.0147478,35343.68,0
compo_93,grad10-NbMo mesure 1,5.64,39.76,51.88,2.71,0.0,5.52,39.65,53.43,1.39,0.0,225.93933761839168,12.839713432332085,9.27626030576677,0.8307210755251249,0.10992629999999999,46876.79,1.0
compo_94,grad10-NbMo mesure 2,6.0,39.09,50.99,3.92,0.0,5.91,39.22,52.84,2.03,0.0,225.23666843998407,12.523790600902526,4.2431825014185085,0.3628560476559095,0.172147,50094.25,1.0
compo_95,grad10-NbMo mesure 3,6.68,38.57,50.15,4.6,0.0,6.61,38.84,52.16,2.39,0.0,223.1041389290622,12.257904704588341,0.7363449388427225,0.158086515323175,0.1354854,47525.52,1.0
compo_96,grad10-NbMo mesure 4,7.36,37.72,48.61,6.32,0.0,7.34,38.33,51.01,3.31,0.0,216.86725811493025,12.239406497527998,1.1968071852094468,0.2881266813366655,0.1314481,47198.19,1.0
compo_97,grad10-NbMo mesure 5,8.11,36.83,47.48,7.57,0.0,8.15,37.69,50.17,3.99,0.0,216.23769758720596,11.578012866437575,5.844584136810754,0.08771591741071331,0.04365628,48603.29,1.0
compo_98,grad10-NbMo mesure 6,8.9,35.98,46.05,9.07,0.0,9.01,37.11,49.05,4.82,0.0,214.39438911239176,11.770090446558928,8.498889229198268,0.5827940405888047,0.0845386,44508.17,1.0
compo_99,grad10-NbMo mesure 7,9.82,34.86,44.49,10.83,0.0,10.04,36.3,47.85,5.81,0.0,208.24731853750933,11.272524607729672,8.002275683092964,0.01899369952387746,0.06136465,43051.03,1.0
compo_100,grad10-NbMo mesure 8,10.64,33.93,42.75,12.68,0.0,10.99,35.69,46.44,6.88,0.0,204.94610961633825,11.216679302314294,3.1188683366308934,0.27849938328273405,0.05234287,42638.79,1.0
compo_101,grad10-NbMo mesure 9,11.48,32.76,41.06,14.71,0.0,11.99,34.84,45.1,8.07,0.0,196.5169691260915,10.792107902738572,2.5918897979830575,0.33609406271885467,0.06155348,43095.79,1.0
compo_102,grad10-NbMo mesure 10,12.53,31.65,39.18,16.64,0.0,13.22,34.04,43.51,9.22,0.0,197.6478152884141,11.066335002253624,0.8133467499137542,0.3550003545691986,0.07024246,43490.85,1.0
compo_103,grad10-NbMo mesure 11,13.41,30.11,37.08,19.4,0.0,14.38,32.88,41.81,10.93,0.0,192.8011843878355,10.7464420792198,3.4895046053578667,0.14438026328384415,0.06621779,43039.02,1.0
compo_104,grad10-NbMo mesure 12,14.65,28.77,34.77,21.81,0.0,15.93,31.86,39.76,12.45,0.0,191.1467120890414,10.740656070917899,4.340066489450625,0.13447794865815993,0.0597902,42471.54,1.0
compo_105,grad10-NbMo mesure 13,15.85,27.04,32.64,24.46,0.0,17.5,30.41,37.9,14.18,0.0,180.9043271198237,10.239261705984934,4.244999755080045,0.4018338843286677,0.07059774,43142.6,1.0
compo_106,grad10-TiZr mesure 1,16.48,26.43,31.55,25.54,0.0,18.31,29.91,36.87,14.9,0.0,161.81330361826508,10.279075719118246,2.1789931592447678,0.2885111675686969,0.04218105,44072.61,1.0
compo_107,grad10-TiZr mesure 2,17.58,25.06,29.13,28.23,0.0,19.86,28.82,34.59,16.74,0.0,166.63460506500692,10.262722216730493,4.445592284967634,0.033074154685702115,0.04256815,44199.12,1.0
compo_108,grad10-TiZr mesure 3,18.85,23.21,26.66,31.28,0.0,21.68,27.19,32.25,18.89,0.0,165.1873343115181,10.043779288815893,4.243779104079831,0.1315173521311801,0.03791868,43910.76,1.0
compo_109,grad10-TiZr mesure 4,19.98,21.61,24.5,33.91,0.0,23.35,25.73,30.12,20.81,0.0,165.7204534549906,9.930054994881095,5.124472969589546,0.2805107379274302,0.03217093,43660.72,1.0
compo_110,grad10-TiZr mesure 5,21.11,19.95,22.16,36.78,0.0,25.12,24.17,27.73,22.98,0.0,154.2907610300219,9.070949867880975,4.4718774323601345,0.19335753968966846,0.02821477,43234.14,1.0
compo_111,grad10-TiZr mesure 6,22.12,18.16,19.86,39.86,0.0,26.83,22.44,25.34,25.39,0.0,157.77871925570145,9.70434063560095,3.811473660058012,0.48583543784440475,0.02750882,43251.43,1.0
compo_112,grad10-TiZr mesure 7,23.25,16.48,17.7,42.57,0.0,28.7,20.72,22.98,27.59,0.0,156.27582771431793,9.485609851502293,1.371023292269996,0.32209924863054296,0.02361583,42835.98,1.0
compo_113,grad10-TiZr mesure 8,24.01,14.82,15.62,45.54,0.0,30.22,19.0,20.68,30.1,0.0,152.93551847792946,9.374784477484656,2.6226049904984974,0.304032683965292,0.02410824,42677.15,1.0
compo_114,grad10-TiZr mesure 9,25.03,13.12,13.73,48.11,0.0,32.05,17.11,18.49,32.35,0.0,155.23743733192046,8.951803598968791,3.2848285845785368,0.10466717181118625,0.02258657,42499.41,1.0
compo_115,grad10-TiZr mesure 10,26.12,11.71,11.9,50.27,0.0,33.95,15.5,16.26,34.3,0.0,144.83164807119613,8.87132620982253,2.3431063911805605,0.4379236027158955,0.02053898,42099.87,1.0
compo_116,grad10-TiZr mesure 11,26.94,10.21,10.06,52.79,0.0,35.61,13.75,13.98,36.65,0.0,143.51606176720196,9.064874759626022,6.847748079168861,0.09694575915745908,0.0147478,35343.68,0
compo_117,grad10-TiZr mesure 12,28.0,8.93,8.29,54.78,0.0,37.54,12.2,11.69,38.57,0.0,144.6750152244718,9.15065559104303,2.2827439707262944,0.15040310356180916,0.0147478,35343.68,0
compo_118,grad11-Nb mesure 1,7.63,87.24,0.0,5.12,0.0,7.7,89.59,0.0,2.71,0.0,132.02905266228146,3.8794806508018223,6.906133363201983,0.03132833519190272,0.1028924,52025.13,1.0
compo_119,grad11-Nb mesure 2,8.48,85.24,0.0,6.28,0.0,8.6,88.06,0.0,3.34,0.0,134.54490876946755,3.9534914963263814,5.347845070235509,0.09790736893614979,0.08958916,51350.68,1.0
compo_120,grad11-Nb mesure 3,7.37,85.6,0.0,7.03,0.0,7.5,88.74,0.0,3.76,0.0,139.26489330200562,3.9937540966721294,5.597418356804533,0.07022062357773916,0.6895373,78698.85,1.0
compo_121,grad11-Nb mesure 4,8.32,82.09,0.0,9.58,0.0,8.59,86.22,0.0,5.19,0.0,136.21188090219746,4.50952835769626,3.8611087648803943,0.20194810889280002,0.05105907,49527.74,1.0
compo_122,grad11-Nb mesure 5,10.68,77.1,0.0,12.22,0.0,11.16,82.12,0.0,6.71,0.0,131.48252134384697,4.49740446815049,4.4242605801985775,0.12269645607570061,0.04937005,48487.92,1.0
compo_123,grad11-Nb mesure 6,11.8,74.78,0.0,13.42,0.0,12.42,80.17,0.0,7.42,0.0,134.70174589685715,4.559590459018369,0.08822194068698229,0.18589685239360548,0.05724289,49006.85,1.0
compo_124,grad11-Nb mesure 7,12.73,71.11,0.0,16.16,0.0,13.6,77.34,0.0,9.06,0.0,132.3262014502633,4.634664703039361,2.72969077037399,0.17703947109224685,0.04626738,48802.18,1.0
compo_125,grad11-Nb mesure 8,13.43,68.03,0.0,18.53,0.0,14.53,74.94,0.0,10.53,0.0,143.22460163760093,5.059969416090331,5.475699744601569,0.2096136227849903,0.05116246,48596.19,1.0
compo_126,grad11-Nb mesure 9,14.54,64.4,0.0,21.06,0.0,15.94,71.93,0.0,12.13,0.0,137.70950899599612,4.829571695283173,9.004791150709643,0.3081946606478506,0.03992642,47935.95,1.0
