v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_112,grad6-NbTi measure 12 indent 2,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,84.53208664126467,6.541500100890597,0.07275116,41671.81,1.0
data_113,grad6-NbTi measure 12 indent 3,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,82.86402165212853,6.315315562275721,0.07275116,41671.81,1.0
data_114,grad6-NbTi measure 12 indent 4,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,84.70172521212362,6.615471076160586,0.07275116,41671.81,1.0
data_115,grad6-NbTi measure 12 indent 5,0.0,38.32,12.46,42.2,7.02,0.0,49.85,16.74,28.3,5.11,83.16144361249506,6.190684992049032,0.07275116,41671.81,1.0
data_116,grad7-CrMo measure 1 indent 1,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,284.2565681728168,16.455916920968427,0.02261532,41358.1,1.0
data_117,grad7-CrMo measure 1 indent 2,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,294.47503252910514,17.09909208566739,0.02261532,41358.1,1.0
data_118,grad7-CrMo measure 1 indent 3,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,303.6020574748461,16.562341055902984,0.02261532,41358.1,1.0
data_119,grad7-CrMo measure 1 indent 4,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,293.45859140650543,16.83597846451839,0.02261532,41358.1,1.0
data_120,grad7-CrMo measure 1 indent 5,3.72,3.8,35.75,0.0,56.73,4.8,4.99,48.5,0.0,41.71,282.5758831726969,16.65961986867556,0.02261532,41358.1,1.0
data_121,grad7-CrMo measure 2 indent 1,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,293.16105316397,16.83634050228534,0.02292051,41851.49,1.0
data_122,grad7-CrMo measure 2 indent 2,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,299.27270385696073,16.407435789476374,0.02292051,41851.49,1.0
data_123,grad7-CrMo measure 2 indent 3,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,289.8304960394398,17.53780785891918,0.02292051,41851.49,1.0
data_124,grad7-CrMo measure 2 indent 4,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,279.9787826683767,16.75568806352996,0.02292051,41851.49,1.0
data_125,grad7-CrMo measure 2 indent 5,4.25,4.16,35.09,0.0,56.5,5.48,5.46,47.57,0.0,41.5,298.45532498584555,16.817874649455675,0.02292051,41851.49,1.0
data_126,grad7-CrMo measure 3 indent 1,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,275.53979858870474,17.257323945467807,0.01843793,38512.27,0.0
data_127,grad7-CrMo measure 3 indent 2,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,295.57076500156535,17.025567835069715,0.01843793,38512.27,0.0
data_128,grad7-CrMo measure 3 indent 3,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,278.528937069468,17.49416304995609,0.01843793,38512.27,0.0
data_129,grad7-CrMo measure 3 indent 4,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,280.0304777665238,16.780585619705352,0.01843793,38512.27,0.0
data_130,grad7-CrMo measure 3 indent 5,4.79,4.94,34.56,0.0,55.7,6.15,6.46,46.65,0.0,40.75,263.35239634413165,17.26307781240021,0.01843793,38512.27,0.0
data_131,grad7-CrMo measure 4 indent 1,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,272.4396505965293,17.381071399276962,0.01979029,38816.01,0.0
data_132,grad7-CrMo measure 4 indent 2,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,278.5237771218639,17.153507260138248,0.01979029,38816.01,0.0
data_133,grad7-CrMo measure 4 indent 3,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,284.28793478728454,16.828460984363886,0.01979029,38816.01,0.0
data_134,grad7-CrMo measure 4 indent 4,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,270.6199310270875,16.734930511054376,0.01979029,38816.01,0.0
data_135,grad7-CrMo measure 4 indent 5,5.38,5.73,34.0,0.0,54.88,6.88,7.46,45.69,0.0,39.97,278.8382803379239,17.71894375669217,0.01979029,38816.01,0.0
data_136,grad7-CrMo measure 5 indent 1,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,285.4080431018568,17.182342034668473,0.01996134,38845.28,0.0
data_137,grad7-CrMo measure 5 indent 2,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,285.95128482598574,17.239858316918838,0.01996134,38845.28,0.0
data_138,grad7-CrMo measure 5 indent 3,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,286.5992216374789,16.999542093850728,0.01996134,38845.28,0.0
data_139,grad7-CrMo measure 5 indent 4,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,282.3334438901435,16.986827019826535,0.01996134,38845.28,0.0
data_140,grad7-CrMo measure 5 indent 5,6.03,6.55,33.47,0.0,53.95,7.66,8.48,44.76,0.0,39.1,291.97564126110746,17.250217341398617,0.01996134,38845.28,0.0
data_141,grad7-CrMo measure 6 indent 1,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,273.40658821240754,17.449970339550404,0.02295594,39323.42,1.0
data_142,grad7-CrMo measure 6 indent 2,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,272.1768680902461,17.304391937934994,0.02295594,39323.42,1.0
data_143,grad7-CrMo measure 6 indent 3,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,0,0,0.02295594,39323.42,1.0
data_144,grad7-CrMo measure 6 indent 4,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,288.34342462032185,17.422542179892226,0.02295594,39323.42,1.0
data_145,grad7-CrMo measure 6 indent 5,6.65,7.5,32.98,0.0,52.88,8.4,9.65,43.85,0.0,38.1,279.5579974715421,17.729525480738488,0.02295594,39323.42,1.0
