,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_190,grad7-NbZr measure 3 indent 5,18.86,23.36,25.53,0.0,32.25,21.46,27.07,30.56,0.0,20.92,12.054310470994265
data_191,grad7-NbZr measure 4 indent 1,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,11.609745329252418
data_192,grad7-NbZr measure 4 indent 2,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,11.87621206407351
data_193,grad7-NbZr measure 4 indent 3,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,12.038516255253136
data_194,grad7-NbZr measure 4 indent 4,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,11.891591842723845
data_195,grad7-NbZr measure 4 indent 5,20.48,25.74,24.2,0.0,29.58,23.0,29.46,28.6,0.0,18.94,11.876868726438031
data_197,grad7-NbZr measure 5 indent 2,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,11.615048791689006
data_198,grad7-NbZr measure 5 indent 3,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,11.786268847593348
data_199,grad7-NbZr measure 5 indent 4,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,11.710968138097599
data_200,grad7-NbZr measure 5 indent 5,22.21,27.93,22.79,0.0,27.08,24.66,31.58,26.61,0.0,17.14,11.657400328772
data_201,grad7-NbZr measure 6 indent 1,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,11.15131672827115
data_202,grad7-NbZr measure 6 indent 2,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,11.219592432126673
data_204,grad7-NbZr measure 6 indent 4,23.73,30.62,21.35,0.0,24.3,26.01,34.18,24.62,0.0,15.19,11.354120016306542
